Key,Value
CPV_NGDPPC,408464.885
CPV_LUR,8.0
CPV_LP,0.558
CPV_GGX_NGDP,26.548
CPV_GGXWDN_NGDP,102.506
CPV_GGX,60.513
CPV_BCA,-0.107
KHM_PPPPC,5047.997
KHM_PPPGDP,84.525
KHM_PCPIE,184.631
KHM_PCPI,182.225
KHM_NGDP_FY,118319.99
KHM_NGDPPC,7066332.863
KHM_LUR,
KHM_LP,16.744
KHM_GGX_NGDP,21.944
KHM_GGXWDN_NGDP,
KHM_GGX,25963.812
KHM_BCA,-1.459
CMR_PPPPC,3821.658
CMR_PPPGDP,99.914
CMR_PCPIE,274.035
CMR_PCPI,268.487
CMR_NGDP_FY,23504.672
CMR_NGDPPC,899045.344
CMR_LUR,
CMR_LP,26.144
CMR_GGX_NGDP,20.718
CMR_GGXWDN_NGDP,
CMR_GGX,4869.582
CMR_BCA,-1.998
CAN_PPPPC,52926.682
CAN_PPPGDP,1985.811
CAN_PCPIE,140.977
CAN_PCPI,139.908
CAN_NGDP_FY,2491.633
CAN_NGDPPC,66408.047
CAN_LUR,6.55
CAN_LP,37.52
CAN_GGX_NGDP,38.815
CAN_GGXWDN_NGDP,34.281
CAN_GGX,967.132
CAN_BCA,-36.384
CYM_PPPPC,0
CYM_PPPGDP,0
CYM_PCPIE,0
CYM_PCPI,0
CYM_NGDP_FY,0
CYM_NGDPPC,0
CYM_LUR,0
CYM_LP,0
CYM_GGX_NGDP,0
CYM_GGXWDN_NGDP,0
CYM_GGX,0
CYM_BCA,0
CAF_PPPPC,838.616
CAF_PPPGDP,4.43
CAF_PCPIE,227.203
CAF_PCPI,225.158
CAF_NGDP_FY,1566.657
CAF_NGDPPC,296577.876
CAF_LUR,
CAF_LP,5.282
CAF_GGX_NGDP,21.287
CAF_GGXWDN_NGDP,
CAF_GGX,333.488
CAF_BCA,-0.211
TCD_PPPPC,3468.549
TCD_PPPGDP,45.515
TCD_PCPIE,158.266
TCD_PCPI,156.142
TCD_NGDP_FY,10851.293
TCD_NGDPPC,826935.164
TCD_LUR,
TCD_LP,13.122
TCD_GGX_NGDP,23.109
TCD_GGXWDN_NGDP,
TCD_GGX,2507.653
TCD_BCA,-0.691
CHL_PPPPC,29460.25
CHL_PPPGDP,558.953
CHL_PCPIE,126.709
CHL_PCPI,124.653
CHL_NGDP_FY,213587.164
CHL_NGDPPC,11257345.493
CHL_LUR,6.3
CHL_LP,18.973
CHL_GGX_NGDP,26.555
CHL_GGXWDN_NGDP,2.606
CHL_GGX,56717.585
CHL_BCA,-7.658
CHN_PPPPC,20003.577
CHN_PPPGDP,28229.144
CHN_PCPIE,126.476
CHN_PCPI,129.012
CHN_NGDP_FY,101720.492
CHN_NGDPPC,72080.603
CHN_LUR,4.09
CHN_LP,1411.205
CHN_GGX_NGDP,28.515
CHN_GGXWDN_NGDP,
CHN_GGX,29005.856
CHN_BCA,484.116
CXR_PPPPC,0
CXR_PPPGDP,0
CXR_PCPIE,0
CXR_PCPI,0
CXR_NGDP_FY,0
CXR_NGDPPC,0
CXR_LUR,0
CXR_LP,0
CXR_GGX_NGDP,0
CXR_GGXWDN_NGDP,0
CXR_GGX,0
CXR_BCA,0
CCK_PPPPC,0
CCK_PPPGDP,0
CCK_PCPIE,0
CCK_PCPI,0
CCK_NGDP_FY,0
CCK_NGDPPC,0
CCK_LUR,0
CCK_LP,0
CCK_GGX_NGDP,0
CCK_GGXWDN_NGDP,0
CCK_GGX,0
CCK_BCA,0
COL_PPPPC,17601.041
COL_PPPGDP,898.374
COL_PCPIE,142.452
COL_PCPI,141.309
COL_NGDP_FY,1135193.347
COL_NGDPPC,22240830.064
COL_LUR,8.9
COL_LP,51.041
COL_GGX_NGDP,27.398
COL_GGXWDN_NGDP,30.392
COL_GGX,311022.976
COL_BCA,-17.274
COM_PPPPC,1810.174
COM_PPPGDP,1.678
COM_PCPIE,203.294
COM_PCPI,197.395
COM_NGDP_FY,390.922
COM_NGDPPC,421818.308
COM_LUR,
COM_LP,0.927
COM_GGX_NGDP,26.369
COM_GGXWDN_NGDP,14.38
COM_GGX,103.082
COM_BCA,-0.117
COD_PPPPC,1006.571
COD_PPPGDP,95.312
COD_PCPIE,1571.474
COD_PCPI,3362.615
COD_NGDP_FY,59690.993
COD_NGDPPC,630387.762
COD_LUR,
COD_LP,94.689
COD_GGX_NGDP,15.772
COD_GGXWDN_NGDP,
COD_GGX,9414.537
COD_BCA,-6.468
COG_PPPPC,8582.132
COG_PPPGDP,41.606
COG_PCPIE,162.29
COG_PCPI,160.344
COG_NGDP_FY,8328.025
COG_NGDPPC,1717835.499
COG_LUR,
COG_LP,4.848
COG_GGX_NGDP,38.097
COG_GGXWDN_NGDP,
COG_GGX,3172.701
COG_BCA,0.159
COK_PPPPC,0
COK_PPPGDP,0
COK_PCPIE,0
COK_PCPI,0
COK_NGDP_FY,0
COK_NGDPPC,0
COK_LUR,0
COK_LP,0
COK_GGX_NGDP,0
COK_GGXWDN_NGDP,0
COK_GGX,0
COK_BCA,0
CRI_PPPPC,19637.955
CRI_PPPGDP,101.35
CRI_PCPIE,216.096
CRI_PCPI,211.94
CRI_NGDP_FY,43150.735
CRI_NGDPPC,8361083.668
CRI_LUR,7.634
CRI_LP,5.161
CRI_GGX_NGDP,20.677
CRI_GGXWDN_NGDP,52.563
CRI_GGX,8922.193
CRI_BCA,-3.442
HRV_PPPPC,25401.169
HRV_PPPGDP,107.599
HRV_PCPIE,117.444
HRV_PCPI,116.465
HRV_NGDP_FY,394.546
HRV_NGDPPC,93141.15
HRV_LUR,14.675
HRV_LP,4.236
HRV_GGX_NGDP,46.288
HRV_GGXWDN_NGDP,
HRV_GGX,182.626
HRV_BCA,-0.547
CUB_PPPPC,0
CUB_PPPGDP,0
CUB_PCPIE,0
CUB_PCPI,0
CUB_NGDP_FY,0
CUB_NGDPPC,0
CUB_LUR,0
CUB_LP,0
CUB_GGX_NGDP,0
CUB_GGXWDN_NGDP,0
CUB_GGX,0
CUB_BCA,0
CUW_PPPPC,0
CUW_PPPGDP,0
