"Total Revenue - Capital IQ [LTM] ($USDmm, Historical rate)","Total Equity - Capital IQ [LTM] ($USDmm, Historical rate)",Return on Capital - Capital IQ [LTM],Recurring Earnings / Total Assets - Capital IQ [LTM],Net Working Capital / Revenue - Capital IQ [LTM],Asset Turnover - Capital IQ [LTM],Net Working Capital/ Total Assets - Capital IQ [LTM],Payables / Receivables - Capital IQ [LTM],Management Rate of Return (%) - Capital IQ [LTM],Gross Margin % - Capital IQ [LTM],EBITDA Margin % - Capital IQ [LTM],FFO Interest Coverage - Capital IQ [LTM],EBITDA / Interest Exp. - Capital IQ [LTM],FFO to Total Debt - Capital IQ [LTM],Net Debt/EBITDA - Capital IQ [LTM],Total Debt to Capital - Capital IQ [LTM],Total Debt/Total Liabilities % - Capital IQ [LTM],Total Debt/Revenue - Capital IQ [LTM],(FFO + Cash) to Short Term Debt - Capital IQ [LTM],FFO to Gross Profit - Capital IQ [LTM],Basic Defense Interval - Capital IQ [LTM] (Days),Current Ratio - Capital IQ [LTM],Quick Ratio - Capital IQ [LTM],CreditModel - EBIT Interest Coverage [Latest Quarter] (Model Version 2.6),CreditModel - Free Operating Cash Flow / Debt [Latest Quarter] (Model Version 2.6),CreditModel - Gearing Ratio [Latest Quarter] (Model Version 2.6),"Total Equity - Capital IQ [Latest Annual] ($USDmm, Historical rate)",Debt/Debt And Equity (%) - Credit Stats Direct [LTM],FFO/Debt (%) - Credit Stats Direct [LTM],Common Dividend Payout Ratio (%) - Credit Stats Direct [Latest Annual],"As-Reported Total Revenue - Capital IQ [LTM] ($USD, Historical rate)",# of Analyst Low (4) Industry Recommendations - Capital IQ [Latest],CUSTOMGeography Encoding,CUSTOMBusiness Encoding,CUSTOM Industry Outlook Weighted Average,CUSTOMPPPPC,CUSTOMPPPGDP,CUSTOMPCPIE,CUSTOMPCPI,CUSTOMNGDP_FY,CUSTOMNGDPPC,CUSTOMLUR,CUSTOMLP,CUSTOMGGX_NGDP,CUSTOMGGX,CUSTOMBCA
4280.5,3427.9,14.5,12.8,0.021,0.82,0.017,1.05,14.9,45.3,26.1,11.8,13.1,0.975,0.81,22.7,58.3,0.245,101.5,0.527,45.3,1.48,1.07,6.4 ,0.6 ,0.4 ,3427.9,25.4,91.6,0,4280.5,0,0.8540846597591107,-0.0,0,0.8248991850516171,0.5940078595723625,6.366025617819181e-12,6.424392105838831e-12,0.0008420393252443715,0.0009180769499091022,0.31570140661166834,0.17713936245974185,0.7868454878022383,0.0016657786159726704,-0.9030911558386832
2617.4,4127.7,17.4,15.7,0.006,0.339,0.002,0.156,17.2,80.6,73.7,15.4,16.4,0.828,1.11,32.4,62.7,0.862,49.2,0.885,111.8,1.05,0.767,16.4 ,0.3 ,0.6 ,4127.7,38.4,71.5,9.99,2806.8,0,-0.0,0.6295033782281991,2,0.8783686687221518,0.7966453392989884,7.333022516539986e-12,7.39539892672286e-12,0.001119864358167182,0.0009229807142999276,0.2874354561101549,0.23539740859761696,0.7661969391951858,0.002206628196193779,-1.223471234167018
3479.2,6181.3,10.6,8.75,-0.226,0.247,-0.056,0.11,11.1,73.7,69.1,12.3,13.8,0.459,1.49,42,61.7,1.4,74.3,0.873,259.3,1.16,1.01,45.4 ,0.3 ,0.6 ,6181.3,45.7,44,85.3,0,0,-0.0,-0.0,0,0.8783686687221518,0.7966453392989884,7.333022516539986e-12,7.39539892672286e-12,0.001119864358167182,0.0009229807142999276,0.2874354561101549,0.23539740859761696,0.7661969391951858,0.002206628196193779,-1.223471234167018
3120.9,9229.7,9.85,8.93,-0.202,0.209,-0.042,0.202,9.89,77.4,75.3,12.5,14.5,0.566,1.5,28.8,68.2,1.25,69.3,0.916,94.1,0.524,0.44,9 ,0.2 ,0.4 ,9229.7,28.5,80.3,5.62,0,0,-0.0,-0.0,0,0.8783686687221518,0.7966453392989884,7.333022516539986e-12,7.39539892672286e-12,0.001119864358167182,0.0009229807142999276,0.2874354561101549,0.23539740859761696,0.7661969391951858,0.002206628196193779,-1.223471234167018
2343,3991.4,13,11.6,-0.161,0.349,-0.056,1.56,13.3,60.5,56,6.09,7.52,0.548,1.48,33.3,73.3,0.851,49.6,0.77,49.3,0.39,0.325,11.5 ,0.1 ,0.6 ,3991.4,34.3,55.7,0,2343,0,-0.0,-0.0,0,0.8783686687221518,0.7966453392989884,7.333022516539986e-12,7.39539892672286e-12,0.001119864358167182,0.0009229807142999276,0.2874354561101549,0.23539740859761696,0.7661969391951858,0.002206628196193779,-1.223471234167018
2566.7,1858.6,29.7,23.9,0.097,0.92,0.089,0.383,29.1,39.7,36.4,23,26,2.37,0.31,15.6,37.7,0.137,43.8,0.815,66.1,2.27,1.55,19.1 ,1.6 ,0.2 ,1858.6,32,106.1,33.3,2566.7,0,-0.0,1.3549530521185158,0,0.8783686687221518,0.7966453392989884,7.333022516539986e-12,7.39539892672286e-12,0.001119864358167182,0.0009229807142999276,0.2874354561101549,0.23539740859761696,0.7661969391951858,0.002206628196193779,-1.223471234167018
1676.6,1874.4,25.9,23.3,0.111,0.711,0.079,0.369,38,43.5,40.6,39,37.9,4.05,0,8.16,35.9,0.103,126.3,0.962,257.1,7.24,5.81,140.4 ,1.3 ,0.2 ,1874.4,12.3,246.8,12.8,1676.6,0,1.611873042058034,0.12424761932804057,0,0.03513474674888607,0.031865813571959535,2.9332090066159946e-13,2.958159570689144e-13,4.479457432668728e-05,3.691922857199711e-05,0.011497418244406196,0.009415896343904677,0.03064787756780743,8.826512784775117e-05,-0.04893884936668071
1227,1882.7,23.3,19.4,-0.094,0.445,-0.042,1.02,27.4,83.7,71.6,28,30.7,2.09,0.009,17.9,46.9,0.334,131.3,0.833,259.7,1.88,1.88,25 ,1.6 ,0.2 ,1882.7,22.8,150.1,26.2,1227,0,-0.0,-0.0,0,0.8783686687221518,0.7966453392989884,7.333022516539986e-12,7.39539892672286e-12,0.001119864358167182,0.0009229807142999276,0.2874354561101549,0.23539740859761696,0.7661969391951858,0.002206628196193779,-1.223471234167018
904.9,1199,9.3,8.03,-0.021,0.583,-0.012,1.3,15.2,34.7,23.6,10.1,9.31,1.65,0,10.5,39.9,0.155,276.9,0.737,150.5,2.7,2.4,4.3 ,0.6 ,0.1 ,1199,14.4,93,0,891.3,0,-0.0,0.34312290713202054,0,0.6867217738456833,0.07034612880929014,3.867083811447491e-12,3.915087740758599e-12,0.0001240757096983278,0.0009054044978453565,0.3887471066532138,0.026587207386595146,0.8402060739874883,0.00026809923482779853,-0.07515554123391914
1455.4,2155.2,7.71,5.36,-0.094,0.302,-0.028,0.326,6.6,73.2,69.3,3,6.54,0.434,1.03,35.7,44.9,0.821,10.3,0.487,86.7,0.73,0.538,3.6 ,0.1 ,0.6 ,2155.2,47.6,40.3,0,1457.9,0,-0.0,-0.0,0,0.8783686687221518,0.7966453392989884,7.333022516539986e-12,7.39539892672286e-12,0.001119864358167182,0.0009229807142999276,0.2874354561101549,0.23539740859761696,0.7661969391951858,0.002206628196193779,-1.223471234167018
